# Every West and Central Asia city row: the bank figure (Wikidata P1082 as the probe took it) vs the enwiki infobox population_total (live, 2026-09-19)
# name | country | bank size | article figure (as of) | ratio | article type | views | wikiTitle

Zakho | Iraq | 219006 | 800000 (2026) | 0.27 | City | 2283 | Zakho
Afula | Israel | 60000 | 64452 ({{Israel populations) | 0.93 | City | 2039 | Afula
Bat Yam | Israel | 128800 | no figure |  | City | 2435 | Bat Yam
Beit Shemesh | Israel | 118700 | no figure |  | City | 4079 | Beit Shemesh
Bnei Brak | Israel | 193774 | no figure |  | City | 5266 | Bnei Brak
Givatayim | Israel | 60200 | no figure |  | City | 1583 | Givatayim
Hadera | Israel | 100630 | no figure |  | City | 1918 | Hadera
Hod HaSharon | Israel | 56659 | no figure |  | City | 2070 | Hod HaSharon
Kfar Saba | Israel | 101432 | no figure |  | City (from 1962) | 4109 | Kfar Saba
Kiryat Ata | Israel | 62354 | no figure |  | City (from 1969) | 1157 | Kiryat Ata
Kiryat Gat | Israel | 55000 | no figure |  | City | 2161 | Kiryat Gat
Kiryat Motzkin | Israel | 51349 | no figure |  | City | 609 | Kiryat Motzkin
Lod | Israel | 75700 | no figure |  | City | 5753 | Lod
Modi'in-Maccabim-Re'ut | Israel | 97097 | no figure |  | City | 2648 | Modi'in-Maccabim-Re'ut
Nahariya | Israel | 60000 | no figure |  | City (from 1961) | 2161 | Nahariya
Ness Ziona | Israel | 50200 | no figure |  | City (from 1992) | 1248 | Ness Ziona
Ra'anana | Israel | 74000 | no figure |  | City | 3805 | Ra'anana
Rahat | Israel | 64462 | no figure |  | City (from 1994) | 1735 | Rahat
Ramla | Israel | 75500 | no figure |  | City | 5357 | Ramla
Rosh HaAyin | Israel | 56300 | no figure |  | City | 3288 | Rosh HaAyin
Umm al-Fahm | Israel | 55300 | no figure |  | City (from 1985) | 1583 | Umm al-Fahm
Ar-Ramtha | Jordan | 297830 | 155693 (2015) | 1.91 | City | 426 | Ar-Ramtha
As-Salt | Jordan | 88900 | 107874 (2018) | 0.82 | City | 1096 | As-Salt
Aydoun | Jordan | 63244 | no figure |  | City | 122 | Aydoun
Russeifa | Jordan | 472604 | 280000 (2010) | 1.69 | City | 487 | Russeifa
Balkhash | Kazakhstan | 73785 | 68833 (2009) | 1.07 | City | 791 | Balkhash (city)
Jezkazgan | Kazakhstan | 100000 | 86227 (2009) | 1.16 | City | 974 | Jezkazgan
Qonayev | Kazakhstan | 61767 | 54245 (2021 census) | 1.14 |  | 517 | Qonayev
Satbayev | Kazakhstan | 69919 | 60105 (2009) | 1.16 | City | 244 | Satbayev (city)
Zhanaozen | Kazakhstan | 156000 | 147962 (2018) | 1.05 | Town | 578 | Zhanaozen
Nabatieh | Lebanon | 120000 | 40000 () | 3.00 | City | 1979 | Nabatieh
Tripoli | Lebanon | 227857 | 892398 () | 0.26 | City | 8858 | Tripoli, Lebanon
Saham | Oman | 173055 | 140000 (2017) | 1.24 | Town | 274 | Saham
Beit Lahia | Palestine | 89838 | 89838 (2017) | 1.00 | City | 913 | Beit Lahia
Jabalia | Palestine | 172704 | 172704 (2017) | 1.00 | Municipality type A (City) | 1096 | Jabalia
Tulkarm | Palestine | 92272 | 64532 (2017) | 1.43 | Municipality type A (City) | 1918 | Tulkarm
Yatta | Palestine | 63511 | 63511 (2011) | 1.00 | Municipality type A (City) | 578 | Yatta, Hebron
Al Daayen | Qatar | 54339 | 54339 (2015) | 1.00 | Municipality | 578 | Al Daayen
Al Rayyan | Qatar | 605712 | 605712 (2015) | 1.00 | Municipality | 1522 | Al Rayyan
Al-Shahaniya | Qatar | 161240 | 187571 (2015) | 0.86 | Municipality | 639 | Al-Shahaniya
Hafar al-Batin | Saudi Arabia | 65747 | 387096 (2022) | 0.17 | City | 2009 | Hafar al-Batin
Khamis Mushait | Saudi Arabia | 99213 | 535065 (Census 2022) | 0.19 | City | 2679 | Khamis Mushait
Sakaka | Saudi Arabia | 117063 | 204174 (2022 census) | 0.57 | City | 1187 | Sakaka, Saudi Arabia
Abu Kamal | Syria | 52020 | 42510 (2004 census) | 1.22 | City | 639 | Abu Kamal
Al-Bab | Syria | 144705 | 63069 (2004) | 2.29 | City | 609 | Al-Bab
Al-Hajar al-Aswad | Syria | 101827 | 84948 (2004 census) | 1.20 | City | 152 | Al-Hajar al-Aswad
Al-Nabek | Syria | 52502 | 32548 (2004 census) | 1.61 | City | 274 | Al-Nabek
Al-Rastan | Syria | 61176 | 39834 (2004) | 1.54 | City | 365 | Al-Rastan
Al-Tall | Syria | 63554 | 44597 (2004 census) | 1.43 |  | 213 | Al-Tall, Syria
Arbin | Syria | 51246 | 44934 (2004) | 1.14 | Town | 122 | Arbin, Syria
As-Safira | Syria | 106460 | 106382 (2007 est.) | 1.00 | City | 152 | As-Safira
Da'el | Syria | 55000 | 29408 (2004 census) | 1.87 | Town | 91 | Da'el
Daraa | Syria | 107500 | 97969 (2004 census) | 1.10 | City | 3074 | Daraa
Douma | Syria | 400000 | 110893 (2004 census) | 3.61 |  | 670 | Douma, Syria
Hasakah | Syria | 188160 | 422445 () | 0.45 | City | 2070 | Hasakah
Jableh | Syria | 75505 | 80000 (2004 census) | 0.94 | City | 1096 | Jableh
Jaramana | Syria | 114363 | 114363 (2004 census) | 1.00 | City | 761 | Jaramana
Jisr ash-Shughur | Syria | 112654 | 39917 (| population_footnot) | 2.82 | City | 335 | Jisr ash-Shughur
Khan Shaykhun | Syria | 55843 | 50469 (2004) | 1.11 | Town | 274 | Khan Shaykhun
Maarat al-Numan | Syria | 90000 | 87742 (2009) | 1.03 | City | 639 | Maarat al-Numan
Manbij | Syria | 78255 | 99497 (2004) | 0.79 | City | 1735 | Manbij
Nawa | Syria | 150000 | 47066 (2004 census) | 3.19 | City | 304 | Nawa, Daraa
Suwayda | Syria | 64730 | 73641 (2004 census) | 0.88 | City | 3592 | Suwayda
Tabqa | Syria | 84000 | 69425 (2004 census) | 1.21 | City | 304 | Tabqa
Konibodom | Tajikistan | 54400 | 54400 (2022 est.) | 1.00 | City | 183 | Konibodom
Acipayam | Turkey | 54888 | 54888 (2022) | 1.00 | metro district | 122 | Acıpayam
Adapazari | Turkey | 281489 | 281489 (2022) | 1.00 | metro district | 1522 | Adapazarı
Adiyaman | Turkey | 267131 | 290883 (2024) | 0.92 | municipality | 1400 | Adıyaman
Afsin | Turkey | 81423 | 80044 (2022) | 1.02 | metro district | 304 | Afşin
Afyonkarahisar | Turkey | 299673 | 260577 (2025) | 1.15 | municipality | 2831 | Afyonkarahisar
Agri | Turkey | 149188 | 148765 (2022) | 1.00 | municipality | 1400 | Ağrı
Akcaabat | Turkey | 123552 | 129290 (2022) | 0.96 | metro district | 609 | Akçaabat
Akcakale | Turkey | 113194 | 123721 (2022) | 0.91 | metro district | 396 | Akçakale
Akhisar | Turkey | 181472 | 177419 (2022) | 1.02 | metro district | 944 | Akhisar
Aksaray | Turkey | 253113 | 327575 (2025) | 0.77 | municipality | 1461 | Aksaray
Aksehir | Turkey | 93233 | 93719 (2024) | 0.99 | metro district | 761 | Akşehir
Alasehir | Turkey | 105145 | 104717 (2022) | 1.00 | metro district | 4049 | Alaşehir
Anamur | Turkey | 65920 | 66846 (2022) | 0.99 | metro district | 1005 | Anamur
Ayvalik | Turkey | 71063 | 74030 (2022) | 0.96 | metro district | 2709 | Ayvalık
Bafra | Turkey | 142210 | 143109 (2023) | 0.99 | metro district | 487 | Bafra
Balikesir | Turkey | 1250610 | 314958 (2022) | 3.97 | City | 2344 | Balıkesir
